"artist","danceability","energy","liveness","tempo","loudness","acousticness","speechiness","popularity"
"Ritt Momney",0.4,0.49,0.11,0.24,0.49,0.06,0.04,1
"Lele Pons",0.9,0.69,0.27,0.34,0.96,0.09,0.05,0.93
"Los Legendarios",0.82,0.82,0.14,0.31,0.94,0.31,0.19,0.8
"Jerry Di",0.85,0.52,0.15,0.29,0.88,0.82,0.25,0.74
"Emilee",0.67,0.77,0.39,0.41,0.69,0.07,0.08,0.67
"Surf Mesa",0.67,0.77,0.39,0.41,0.69,0.07,0.08,0.67
"salem ilese",0.74,0.62,0.69,0.43,0.7,0.42,0.03,0.67
"A7S",0.74,0.73,0.15,0.49,0.79,0.17,0.23,0.6
"Beltito",0.86,0.67,0.06,0.85,0.79,0.11,0.34,0.54
"Lenny Santos",0.75,0.72,0.24,0.46,0.83,0.25,0.01,0.54
"Master KG",0.88,0.48,0.06,0.51,0.72,0.02,0.03,0.54
"Nomcebo Zikode",0.88,0.48,0.06,0.51,0.72,0.02,0.03,0.54
"Osquel",0.86,0.67,0.06,0.85,0.79,0.11,0.34,0.54
"Sammy & Falsetto",0.86,0.67,0.06,0.85,0.79,0.11,0.34,0.54
"Towy",0.86,0.67,0.06,0.85,0.79,0.11,0.34,0.54
"Angèle",0.87,0.69,0.11,0.44,0.72,0.06,0.21,0.47
"Aya Nakamura",0.79,0.68,0.09,0.3,0.7,0.17,0.18,0.47
"HVME",0.77,0.66,0.13,0.52,0.69,0.32,0.02,0.47
"Jawsh 685",0.77,0.52,0.28,0.73,0.68,0.21,0.07,0.47
"Octavian",0.87,0.56,0.09,0.55,0.72,0.18,0.11,0.47
"THE SCOTTS",0.72,0.54,0.16,0.56,0.68,0.23,0.03,0.47
"Brray",0.81,0.71,0.09,0.95,0.87,0.3,0.24,0.44
"Juanka",0.81,0.71,0.09,0.95,0.87,0.3,0.24,0.44
"MNEK",0.66,0.8,0.16,0.6,0.88,0.09,0.04,0.44
"Topic",0.72,0.73,0.17,0.49,0.78,0.14,0.22,0.44
"MEDUZA",0.64,0.62,0.14,0.51,0.68,0.08,0.01,0.43
"CJ",0.71,0.6,0.15,0.65,0.68,0.19,0.21,0.4
"Nea",0.68,0.7,0.17,0.48,0.81,0.41,0.02,0.4
"Sam Fischer",0.6,0.38,0.08,0.09,0.77,0.73,0.02,0.4
"twocolors",0.68,0.77,0.13,0.51,0.73,0.02,0.04,0.4
"Goodboys",0.64,0.64,0.11,0.51,0.68,0.08,0.01,0.37
"Adriana Proenza",0.52,0.13,0.09,0.4,0,0.89,0.01,0.34
"Alexander 23",0.63,0.31,0.12,0.12,0.43,0.88,0.02,0.34
"Chord Overstreet",0.62,0.44,0.08,0.48,0.56,0.47,0.04,0.34
"RAYE",0.85,0.77,0.2,0.47,0.82,0.04,0.01,0.34
"Subvrbs",0.77,0.34,0.26,0.11,0.34,0.61,1,0.34
"Joel Corry",0.71,0.91,0.12,0.51,0.91,0.12,0.03,0.32
"Guaynaa",0.77,0.82,0.27,0.59,0.96,0.11,0.21,0.29
"Chencho Corleone",0.77,0.76,0.2,0.66,0.86,0.28,0.13,0.29
"Regard",0.82,0.8,0.17,0.48,0.88,0.1,0.05,0.29
"Dynoro",0.69,0.77,0.12,0.53,0.82,0.18,0.16,0.27
"J. Rey Soul",0.89,0.64,0.08,0.35,0.73,0.19,0.03,0.27
"PUBLIC",0.61,0.8,0.15,0.34,0.88,0.01,0,0.27
"YOASOBI",0.67,0.87,0.3,0.57,0.83,0,0.01,0.27
"Dímelo Flow",0.77,0.65,0.07,0.83,0.89,0.28,0.18,0.26
"Super Yei",0.76,0.67,0.11,0.96,0.93,0.13,0.28,0.24
"Tones And I",0.78,0.54,0.2,0.34,0.77,0.51,0.06,0.22
"Duncan Laurence",0.45,0.33,0.14,0.08,0.38,0.82,0.02,0.21
"Lucky Luke",0.89,0.72,0.17,0.55,0.77,0.06,0.06,0.21
"MarMar Oso",0.72,0.27,0.08,0.19,0.2,0.39,0.03,0.21
"Zoe Wees",0.6,0.47,0.15,0.43,0.85,0.64,0.01,0.21
"benny blanco",0.62,0.52,0.16,0.4,0.74,0.46,0.23,0.17
"Camilo",0.7,0.69,0.16,0.69,0.89,0.17,0.15,0.14
"Alok",0.7,0.72,0.33,0.48,0.85,0.01,0.03,0.14
"Chael Produciendo",0.85,0.91,0.13,0.42,1,0.05,0.27,0.14
"DTG",0.61,0.62,0.28,0,0.74,0.5,0.24,0.14
"Grey",0.74,0.64,0.11,0.35,0.94,0.24,0.03,0.14
"Ilkay Sencan",0.7,0.72,0.33,0.48,0.85,0.01,0.03,0.14
"KSI",0.76,0.81,0.07,0.49,0.87,0.05,0.02,0.14
"Lil Eazzyy",0.8,0.43,0.09,0.73,0.34,0.36,0.34,0.14
"Micro TDH",0.88,0.78,0.09,0.33,0.89,0.04,0.12,0.14
"Mora",0.55,0.6,0.1,0.18,0.82,0.13,0.08,0.14
"S1mba",0.61,0.62,0.28,0,0.74,0.5,0.24,0.14
"Justin Quiles",0.76,0.71,0.1,0.63,0.9,0.17,0.15,0.14
"Sista Prod",0.74,0.48,0.2,0.13,0.6,0.65,0.7,0.11
"(G)I-DLE",0.64,0.8,0.25,0.74,0.88,0.01,0.03,0.09
"Mabel",0.67,0.81,0.1,0.64,0.96,0.46,0.16,0.09
"ATR Son Son",0.9,0.25,0.1,0.46,0.07,0.29,0.11,0.07
"Axwell /\ Ingrosso",0.65,0.74,0.31,0.51,0.85,0.03,0.01,0.07
"Beéle",0.67,0.68,0.2,0.21,0.88,0.54,0.11,0.07
"Coyote Theory",0.28,0.66,0.13,1,0.78,0.39,0,0.07
"DripReport",0.9,0.33,0.11,0.31,0.55,0.26,0.08,0.07
"El Guincho",0.88,0.69,0.05,0.29,0.9,0.39,0.13,0.07
"Everybody Loves an Outlaw",0.51,0.45,0.24,0.79,0.69,0.01,0.01,0.07
"JVKE",0.88,0.5,0.44,0.48,0.74,0.05,0.05,0.07
"JVLA",0.62,0.61,0.19,0.89,0.9,0,0.02,0.07
"Nayer",0.67,0.94,0.3,0.56,0.95,0.19,0.18,0.07
"Popp Hunna",0.91,0.39,0.07,0.66,0.47,0.27,0.46,0.07
"Rels B",0.85,0.55,0.04,0.27,0.76,0.24,0.31,0.07
"Royal & the Serpent",0.8,0.32,0.15,0.2,0.47,0.31,0.37,0.07
"SUGA",0.72,0.7,0.13,0.65,0.83,0.34,0.07,0.07
"StaySolidRocky",0.73,0.42,0.11,0.57,0.54,0.7,0.09,0.07
"Wolftyla",0.64,0.9,0.16,0.84,0.87,0.02,0.03,0.07
"Dalex",0.73,0.67,0.15,0.83,0.87,0.23,0.21,0.05
"Jaira Burns",0.63,0.78,0.25,0.74,0.87,0.01,0.03,0.05
"KHEA",0.75,0.7,0.17,0.59,0.81,0.45,0.11,0.05
"Curtis Waters",0.88,0.69,0.15,0.31,0.76,0.33,0.05,0.04
"Harm Franklin",0.88,0.69,0.15,0.31,0.76,0.33,0.05,0.04
